"thread_titles","thread_links","poster_ids","time","posts","category"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","Keppra","2012-03-06T15:48:56-05:00","I started having seizures when I was 12 yrs. and they put me on dilantin and other meds.  they never got under control so good until I went to a new doctor (because I moved) and at that time I was about 38, and the doctor did a MRI and other test.  He then said to me the first thing we have to do is get you off of dilantin. He showed me that that pill was eating up half of my brain (it is called cerebellar atrophy).  He slowly put me on different levels of Keppra and I haven't been better.  I still have seizures but they are under control and only a few a month.  The level of Keppra I'm on now is 500mg twice a day.  I'm also on Dilantin and tegertol..........Please don't go on Dilantin go on Keppra....Good Luck","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","MichelleKirkendall","2022-08-25T17:53:38-04:00","Thank you for this information. My seizures began when I was four due to a severe head injury. I began taking Dilantin in 1993 and have since been on it. I really need to get off of it because it also causes osteoporosis in the bone. I am 46 now and over the years my attacks have become so much more different than the epilepsy.  I think they are anxiety attacks and do not feel any much better than a seizure does. I see my doctor on the 31st and will talk to him about it. thank you so much for the insight!!","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","teddybears4ever2","2012-02-27T14:57:34-05:00","Everyone is different.  The only person who knows how this will turn out is a doctor.  You son and you need to remember that every once in awhile you may need to change your medication in order to remain seizure free.  The big thing that you need to remember is that the only way to tell that a medication is working is by getting blood drawn and checking for antibodies.","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","MichelleKirkendall","2022-08-25T18:00:10-04:00","That is very true. only a doctor can really help but make sure you get a really good professional doctor. I was with my last doctor for 2 years and never really knew if he existed. I never had a scheduled appointment with him but his nurse practitioner. they were weaning me off of my medicine causing more seizures when I really needed to stay on the medication and talk to a real doctor. I now see a specialist located an hour and a half from me.","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","chantelle1708","2012-09-25T16:54:03-04:00","Hi, I got diagnosed with epilepsy when I was 15 three years ago I have only ever been on keppra, my dosage at one point was 2000 each morning and each night. All it made me do was sleep. Now I'm on 750 in the morning and 50 mg of vimpat then 1000 of keppra on the night and another 50 of vimpat. My seizures are now more controlled. Personally keppra on its own as a great controller It's never taken to me too well.","answer"
"Keppra for IGE?","https://www.medhelp.org/posts/Epilepsy/Keppra-for-IGE/show/1685448","yoyo1965","2012-09-04T13:17:24-04:00","My husband has been on 750 twice a day 08/01/2011.  02/12 he started having seizures again, so they moved him up to 3,000 a day.  04/12 changed him to Dilatan and keppra  more seizures. 05/12 put back on keppra only 3,500 mg. 06/12 seizures moved to keppra 4,000 mg a day!  He has had only 1 seizures since been on 4,000,  but this is a very high dosage.  He is going to see an seizures specialist.  Hoping he can get this dosage down.","answer"
"MRI change from last year","https://www.medhelp.org/posts/Epilepsy/MRI-change-from-last-year/show/3072305","joanhart","2022-07-23T15:44:58-04:00","My son's seizures have increased so his neurologist ordered a new MRI.  When comparing it with last years MRI there is a change.  It states , ""Right frontal subcortical white matter punctate of nonspecific increased T2 signal could be secondary to migraines or multiple other etiologies.""  Should I be concerend?","question"
"What does this Medical info mean?","https://www.medhelp.org/posts/Epilepsy/What-does-this-Medical-info-mean/show/3071900","Mkpkoivu","2022-06-29T16:32:21-04:00","FINDINGS:Redemonstration of Neuropace implant with electrodes extending from theoccipital parietal regions to the medial aspects of the temporal lobes.Streak artifact from the electrodes limits evaluation.Stable brain volume and ventricular size. No evidence of acuteintracranial hemorrhage, new fluid collections or masses.IMPRESSION: IMPRESSIONS:1. No acute intracranial abnormality. Stable findings from thecomparison study.","question"
"NAC was giving me seizures?","https://www.medhelp.org/posts/Epilepsy/NAC-was-giving-me-seizures/show/3068988","BarryLyndon32","2022-01-18T10:47:56-05:00","Hi!I have been suffering from seizures since 2018, I have had 5 episodes since then. My Doctors  have done a multitude of tests and have found nothing. My neurologist put me on Keppra a long time ago. I usually feel dizzy and feel like I'm going to start to seize.I reviewed all the medication that I have taken and have been taking since 2018 and realized that my seizures started right when I started taking NAC (N-Acetylcysteine) (I started taking this medicine reviewing studies that suggested it worked well for OCD, it really did work well)Well, I stopped taking NAC  two month ago and I have not had any seizures or feel as bad and dizzy as I felt. I need confirmation that the withdrawal of NAC has caused my seizure / epilepsy problems to go away.I have been investigating for days and it is not very clear why NAC was giving me these seizuresDoes anyone have any idea why NAC was giving me seizures?Thanks in advance","question"
"How can my dad have multiple seizures and brain inflammation without any reason?","https://www.medhelp.org/posts/Epilepsy/How-can-my-dad-have-multiple-seizures-and-brain-inflammation-without-any-reason/show/3048535","Mastalittle04","2019-08-23T16:02:28-04:00","Hi. My dad is 63 years old, a survivor of 2 cardiac arrests, a stroke 5 years ago that was accompanied by a seizure. On Saturday he wasn't feeling well with a headache and then became unresponsive. He had a seizure in the ambulance and one in the ER. He was on life support for almost 2 days and thank goodness is is now awake and alert. His memory is very touch and go. He has come along way. He couldn't remember the names of his children at first but he still has trouble following conversation and he still hears things or says things that don't make sense. He has all of his physical facilities. He had a CT scan that came back normal and two MRIs that showed inflammation on his left temporal lobe. His phosphorus levels were low on admission. He was on video EEG for four days and had many focal seizures, during which he saw things that weren't there and lost his depth of perception. He hasn't had a seizure that the EEG could register for 48 hours after adjusting his medication. His vision changes sometimes. He will see everything as normal and then everything will be all shades of blue, or brown, or yellow. Sometimes he says the colors don't change they just get super bright. He has continued to have a low grade fever since before his initial seizure on Friday. His spinal tap was negative for meningitis. And there is no indication of an infection based on his blood tests. The hospital wants to send him home without a diagnosis even though they say his inflammation continues to spread. They have confirmed it is not from a stroke and they are now sending a sample of his spinal tap off to be testing for any autoimmune disease because we are requesting it. They have also confirmed it is not from damage from his previous stroke because that was on the other side of his brain. Has anyone ever had a similar situation? Please help me help him.","question"
"How can my dad have multiple seizures and brain inflammation without any reason?","https://www.medhelp.org/posts/Epilepsy/How-can-my-dad-have-multiple-seizures-and-brain-inflammation-without-any-reason/show/3048535","SXYLASHON214","2021-09-23T08:46:41-04:00","MY DAUGHTER WENT THROUGH THIS EXACT SAME THING AFTER GIVING BIRTH TO HER SON AT AGE 29. SHE HAD A STROKE WHERE SHE WAS HOSPITALIZED OVER 4 MONHS. SHE WAS ALSO ON THE VENT. DURNING THAT TIME SHE STARTED TO HAVE FOCIAL SEIZURES ONLY IN HER AFFECTED ARM FROM THE STROKE, WHICH LASTS ONLY SECONDS. AFTER BEING RELEASED FROM THE HOSPITAL AND GETTING INTO THERAPY SHE WAS PUT ON KEPPRA. IT HAS WORKED REALLY WELL WITH HER. SHE IS 90% BACK TO HER NORMAL SELF. WITH THE KEPPRA IT HAD TO BE ADJUSTED A FEW TIMES BUT WHEN IN THE SYSTEM IT WORKS REALLY WELL. DON'T GIVE UP JUST PRAY TO GOD AND DO AS THE DOCTORS TELL YOU CONCERNING YOUR DAD & EVERYTHING WILL WORK OUT. I HPRAY THAT THIS HELP YOU IN SOME FORM.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","qtip716977","2008-04-13T15:36:50-04:00","I have been diagnosed with partial complex seizures. I work in the medical field and my neurologist put me on Keppra. I was still having seizures on 1000mg per day so he increased the dosage over the phone from 1000 to 2000 mg per day. I still have problems so I called him back..............he told me to see a shrink. I feel like the keppra is making me have mood swings that are totally crazy! I am usually very laid back and mellow and now get upset over the littlest things for no reason................has anyone else had this experience on Keppra?","question"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","jhens1998","2021-06-23T10:32:34-04:00","If your doctor told you to see a shrink, I'd consider getting a new neurologist. Regarding Keppra, if you are on the maximum dosage and still getting seizures, you may need to add a 2nd medication. My son continued to have seizures with the max Keppra and now is on Keppra and Depakote.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","tracie46","2021-06-18T09:30:25-04:00","My son is 17 started taking Seizures around 7 months ago he has been on Keppra 750mgs XR 3 @ 7pm along with V-b6 My son is a complete different child. My son has went from the best child to the devil.  This medicine has made my son so severely anxious depressed unable to get out of bed failing school from being straight A student.  I take him to one of the best Neuro in the area and even drive 3 hours to see this doctor, i have reached out to him 4 times made him aware and he has yet to change it, well a few days ago he broke things in my home screaming he has lost almost 20lbs. THIS IS DONE!!!!!!!!!!!!!!! I am weaning him off now and going to be getting his mental health back to stable then go from there.  I can't lose my son, we have emergency medicine if he takes a seizure to stop it i need to get his mental health back his weight MY SON I want him back.  Please share your experience with this medicine with me please.  I am so lost and I feel so helpless for my son.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","tom_h","2014-05-23T12:42:38-04:00","Keppra had God awful effects on our granddaughter who was normally sweet and loving until she was put on it.  Tantrums, angry outbursts, and crying were commonplace.  Fortunately, she wasn't on it for very long.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","tom_h","2014-05-23T12:29:06-04:00","I'm sure the OP is long gone, but to anyone else who is in a similar situation.  There are many different kinds of drugs to try, alone or in combination with another.  There are also many different kinds of neurologists as well.  There are those who will write a script for TWICE the existing strength without consulting with the patient.  There are also neurologists who are caring, compassionate people who will keep digging for a solution.  We discovered this after taking our granddaughter to a well known child neurologist, head of the neurology department in a big city children's hospital on the east coast of the US.  The guy turned out to be .....well a jerk (which should clear the censor).  We too were told to take her to a psychologist after he either gave up or was too busy to bring to bear all of his credential and accolades on a little girl.  We switched to a another doc in another state who while receiving excellent reviews was lesser known in the field.  She has turned out to be the best thing to happen to our granddaughter and her parents.  Phone calls and emails just to see how things are going, rooting, and digging to find an answer.  The OP is under no obligation to continue with the seemingly uncaring physician.  If you don't like the physician, get rid of him and find a new one who will care for you, and treat you in the manner you are due.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","meesher","2014-05-19T18:06:11-04:00","Someone else taking Zonisamide!!! Please god, get us in touch. Oh, and help Junebug learn to type without the upper case button stuck on the ON position which we all see as screaming. June, I am ***@****","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","meesher","2014-05-19T17:57:20-04:00","I just saw an advert for bi-polar disease that made me stiffen up and read. My neuro, in one of one of the damn hand written notes (I'm looking at it now) also decided that since I talk too loudly and  talk too much (a side effect for me of my seizures and the meds) (it's not like I was a lawyer prior to the head injury that gave me seizures) (yes, I was) that I am bi-piloar---wait, I'm getting beind myself--at any rate, the new seizure med I'm taking, Zonisamide, makes me feel like I've consumed too much coffee today and every day, lost 25 pounds (I needed to) and I am terribly sane once again. I can read, I CAN DRIVE. Prior, this evil man told my HUSBAND that I could drive again WHEN MY HUSBAND TOLD ME IT WAS OK---the neuro is from India and is in an arranged marriaged---I can only imagine how many times he has fooled around in THAT marriage--he wears a horridly bad toupe' (or is it toupee?) and his hair piece is so often filty that I cannot keep from smirking when I talk to him! The advert I saw on my screen was for Bi Polar disease. And Zonisamide is used to CURE bi-polar disease--He wrote that I was an epileptic, with ""a strange personality disease, who was bi-polar, and who was obese. Zonisamide has been used since 2000 to cure epilepsy, obese-ness, bi-polar disease, etc. Why did he fail to give it to ME? (Always read the notes the annotations, the nursing notes, anything you can get!) I subpoenaed 10 years of medical annotations from the local hospital and boy howdy, did they sit up and play fetch! Love ya'll I am suing my neuro!","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","meesher","2014-05-14T20:36:06-04:00","Try Zonisamide! I swear by it. All my seizures are under control AND it has made me lose the weight I gained by being a self imposed couch potato---since I was falling down with my seizures and was afraid that I would seize in a strange position and fall on a hard surface! It has been approved by the U.S. FDA since the year 2000, but I've not spoken to many peeps who are using it. Indeed, I did not get it prescribed until my 10th year of seizing, documented by my local U. of CA hospital's Emergency Room. I swear, the things we have to have witnessed by a medical pro are unbelieveable. Wait, maybe that extra E should not be there. I seized so many times my brain was cooked to well done and I cannot spell any more.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","audreyj_101","2014-05-12T14:17:47-04:00","I am 31 had my first seizue 2 months before my bday. Been on keppra 500mg bid and it makes me irritated easily. Normally I can handle stress and just go through the day. I never cry about anything and find myself crying over the dumbest stuff. I know when I snap at people and its not kind but its like I cant help it. And all I wanna do is sleep so I dont have to think. I feel all your pain from all these posts. I am hoping it will get better for everyone. Take care all.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","junebug68","2014-04-07T04:21:15-04:00","I AM ON KEPPRA 1,000 MG. 3X A DAY DEPAKOTE 1,000 MG. 3X A DAY ZONISAMIDE 100 MG. 3 AT BEDTIME. I HAVE HAD MANY EEG'S MOST OF WHICH SHOWED SEIZURES ON THE RIGHT PARIETAL LOBE. THE LAST 2 SHOWED NEGATIVE. I HAVE ALSO HAD AN OVERNIGHT EEG STUDY WHICH I AM WAITING ON THE RESULTS FROM MY NEUROLOGIST. I HAVE SEIZURES 2-3 EVERY WEEK. IN FLORIDA WE HAVE A 2 YEAR SEIZURE FREE FOR DRIVER LICENSE'S AND THAT MEANS I HAVE I HAVE A WHILE TO WAIT TO APPLY FOR MY LICENSE. PLUS THE DOCTOR WON'T EVEN DISCUSS IT AT THIS POINT. I AM GETTING SCHEDULED FOR AN OUT OF COUNTY 5 DAY OVERNIGHT EEG AND AN MRI BY A SPECIALIST. I HAVE NOT HAD ANY HOSTILITIES. I BELIEVE THIS IS BECAUSE I ALL READY HAD MOOD SWINGS AND AM ON MEDICATIONS TO CONTROL THOSE. MY FIRST EEG SHOWED IN 1991 SHOWED RIGHT PARIETAL LOBE SEIZURES ACTIVITY WHEN I WAS VIOLENT. THIS WAS BEFORE I WAS ON ANY MEDICATIONS FOR MENTAL AND SEIZURES. I DO FEEL NAUSEAUS AT TIMES WITH VOMITING AS WELL AS DIZZINESS. THESE ARE BEING TREATED WITH OTHER MEDICATIONS AS WELL. I HAVE HAD 5 TIA'S. AM A SMOKER WITH COPD/ASTHMA/EMPHYSEMA ALL BEING TREATED WITH A NUMBER OF MEDICATIONS.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","junebug68","2014-04-07T03:32:44-04:00","I WAS PLACED ON THE 5 WEEK DOSE PACK OF LAMICTAL BY MY NEUROLOGIST FOR MY SEIZURES. THIS IS WHERE YOU TAKE 25 MG. EVERY OTHER DAY FOR WEEKS 1/2 AND 25 MG. EVERY DAY FOR WEEKS 3/4 AND INCREASE TO 50 MG. EVERY DAY FOR WEEK 5. I ENDED UP IN THE HOSPITAL AT THE BEGINNING OF WEEK 5. THEY STARTED ME ON 50 MG. BY DAY 3 I HAD BROKE OUT IN A RASH AND SORES AND HAD TO BE TAKEN OFF OF IT. I WAS TOLD THAT BREAKING OUT IN A RASH IS A COMMON SIDE AFFECT.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Edggrr","2014-04-03T04:27:44-04:00","Hi , i am having similar symptoms as evryone here. I am 22 yrs old and a male. I suffered from a gran maul seizure in 2013 , put on keppra 500mg a day twice a day. I was fine in the beginning. Slight dizziness, sick to my stomach, slept good, anger was elevated. Howver i dont rlly have epilepsy. Only reason i had one was because of my surgery when i was 11 for an arachnoid cyst . 10 yrs down the road it hit me. First 10 months of keppra was fine. I did suffer numbness in my hamds , dizzy, sleep deprived, shaking of hands and uncontrollable muscle movements, sluggish, waking up too early, definitely angry most of the time. It was just horrible after two months my body accustomed itself to the dose . Then i started with these symptomsI had a second one on keppra due to sleep deprivation. Now im on keppra 500mg twice a day and lamictal 400mg twice a day   . Its annoying as hell!! I just wanna sleep!!! And... Ironically enough.. Im up at 2;30 AM writing this with only 6 hours of sleep..","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Roxyghh","2013-10-20T12:27:05-04:00","Talk with your neurologist about consuming vitamin B6 . It helps stabilize brain activity as well ad mood swings. I am doing perfect of keppra and i am on a 2,000 dosage also however, the difference is that i have generalized epilepsy.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Lamotrigine","2013-09-30T15:45:51-04:00","Hi I'm 5 months pregnant, I've been having fits so I've had to try keppra Im already on 700 mg lamotrigine! I'm worried about the side affects I'm gonna have I'm emotional and tired all the time as it is anyway!","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Nixie79","2013-09-27T19:18:18-04:00","I have been on Keppra for a few years now with a mixture of Epilim, Lamictal and Topamax. I have generalised epilepsy and I ""quote"" from my neurologist ""I am an odd and difficult case"". Lovely hey. Anyway, I am on 1000mg of Keppra a day and I have found that since going on them I have been more irritable towards people and I get upset a lot easier. I have found myself to be more lethargic and sometimes a bit forgetful with the easiest of things. When I am tired, I can't even put one word in front of the other properly so putting a sentence together is hard. Instead of trying to just put me on two different types of tablets and try that, my neurologist thought it would be wise to use me as a guinea pig and put me on four different ones. I have also started to feel the cold a lot more. I am cold for approx 10 months out of the year. I am not happy and it is hard as I haven't had a fit for years and I hadn't since before he stuck me on all these tablets but because my eyes fluttered a little he thought I should take more tablets to stop it so if I was to change now, I would lose my license, my job, my independence.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","knighthawk82","2013-09-12T18:12:01-04:00","I am on Keppra had my first seizure 6 months ago. i take 500 mg 2x daily. Only side effect i had was  wanting to argue alot. (VERY HOT HEADED), but that left after about a month. I  was 47 when I had first seizure. Doctors do not know what caused it. I am in Michigan we have a 6 month seizure free driving law, went today to get paperwork signed to drive. Doctor will not sign it.  No big deal, I will readjust my life around this, I will not let it get the better of me","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Alexandrea95","2013-08-10T20:08:34-04:00","I'm 17 and I've been taking Keppra awhile now. I take 1500 3 times a day mixed with other stuff and my seizures have calmed down, but they haven't stopped completely. The one thing I HATE about it that it makes me hungry 24/7 whereas when I took topermax  I was never hungry so of course as a teenage girl I hate that part, but as far as mood goes and stuff I'd say the Keppra has been the best for me compared to the other stuff. I don't get as angry anymore.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","ceasarseizure","2013-04-02T18:08:58-04:00","See if you can get him on lamictal.  i have noticed an incredible change in my mood for the better after switching from keppra to lamictal 200mg twice a day and it has controlled my seizures for 3 years.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","ZeldaQuist","2013-03-22T21:09:48-04:00","My 12-year old son's first seizure occurred in August 2012.  He went on Keppra after his second seizure in October 2012.  He started at 1000mg/ day.  After his third seizure in November 2012 he moved up to 1500mg/day.  After his fourth seizure in January 2013 he moved up to 2250 mg/day.  After his fifth seizure in March 2013, which happened a week ago, he moved up to 2750mg/day.  Keppra causes him to experience mood swings.  Sometimes he is giddy, sometimes almost inconsolably sad.  His school work has fallen off a lot.  He has gained weight disturbingly.  However, his mood swings less now than when he first went on Keppra.  I am hopeful that the current dosage will be effective and that he will adjust to normalcy.  Epilepsy is bewildering.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","mimi355","2013-03-02T19:35:26-05:00","I take Kepra. The medication was not enough so I now have a VNS implant and take a low dose of Kepra. This works very well for me.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","Gracie1974","2012-11-10T13:24:22-05:00","Awww this is such a heart wrenching story. Apologies for only now responding but only just found this site after doing some research on Keppra. I know what you mean about the way ppl view you. I have been on different meds since i was diagnosed in 1997 with complex partial seizures. I have ppl telling me i am rude and ignorant and have an attitude because they think i am rolling my eyes at them I mean really.. like its my fault. You try to explain to them that its not rudeness and what the real reason is and you get the excuses excuses line. The meds i have been on over the years have given me quite a few different side effects. The first time i tried keppra it was with 15oomg eplim (2001) and that didnt go down well. I am now back on keppra after 11 years on its own this time and been on it since 7th november 2012 and already feeling strange, being hungry but cant really face food. Tried two small glasses of low alcohol wine and that played havoc. Feeling tired and headachy. Only on 250mg at the moment but the dosage is going up by 250mg every 2 weeks up to 1000mg.. so fingers crossed it doesnt get any worse.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","keppra_rager_kel","2012-10-29T17:04:40-04:00","I have been on Keppra for 3 years, almost 4 now.  I am 28, and I had my first/only grand mal at 23.  I have a great job and a great family, and I've been lucky enough to NOT push everyone out of my life so far.  But I have noticed a build up of aggression and just not being myself.  I used to be happy, all the time, played sports in college (Division I).  I've always been really smart (quick at math, majored in chemistry) and really confident.  Lately, I have lost confidence, I get very angry -- quickly.  And I have lost weight, but I have been trying to eat healthy and work out, to increase natural levels of serotonin to make me happier.  And I have memory black outs, where I cant remember what people just said (some say I am a poor listener and I laugh, but I think its something else). But I will tell you this, if I have any alcohol that rage is severe.  And I take it out on my mother and my very patient boyfriend.  And I cry and feel like I am just stuck sometimes.  And I didn't know what was wrong with me until I read this.  Have you tried anti-depressants along side of Keppra?  I'm thinking of suggesting that to my neurologist, just a small dosage to see if it helps... because nothing, NOTHING is worse than feeling the way I did after that seizure.  And I haven't had one since, so I feel like balancing my mood with stabilizers or anti-depressants may help.  I dont want to take pills, but I don't want to be so angry and Keppra has controlled my seizures so well I feel like I don't want to change that part.","answer"
"Keppra- anyone have any succes with it?","https://www.medhelp.org/posts/Epilepsy/Keppra-anyone-have-any-succes-with-it/show/491950","heidij","2012-08-25T17:08:44-04:00","my name is heidi i am 28 years old i had my first seizure a year ago. i am on 1000 mgs of keppra a day and i just started takingit again a couple days ago and i am the same way depression irritibility crying  all of the above I have horrible dry mouth  and no appetite. i worry all the time and i don't wanna be alone. i have numbness in my feet and i feel like i am going crazy.","answer"
